C,degree,gamma,kernel,mean_test_Accuracy,std_test_Accuracy,mean_test_Precision,std_test_Precision,mean_test_recall,std_test_recall,mean_test_f1,std_test_f1,mean_test_f2,std_test_f2,mean_test_f0.5,std_test_f0.5
20.0,5.0,1.0,poly,0.793557600761663,0.02886072715314409,0.8137926755162999,0.04674357183366214,0.8189336978810664,0.038299567661905135,0.8148714860638471,0.022865349636716624,0.762943363065213,0.05857493201570809,0.7700266511955554,0.031113007823953036
50.0,2.0,3.19,poly,0.8445043901406961,0.018481889496707392,0.8553851949738027,0.01595694414952491,0.8663362952836637,0.038327279432743076,0.8602110945889747,0.01904249456125266,0.8201848359108423,0.018716920290570437,0.8295337630699094,0.02814671986175118
50.0,,3.19,rbf,0.8095842589654078,0.04139234821874073,0.8003087149659646,0.02828984993625842,0.8741968557758032,0.051003253096523725,0.8353367619695999,0.03670622310399782,0.7465492413835075,0.04145632964198131,0.8041580785547291,0.05788330067316052
50.0,2.0,0.1,poly,0.8706336612715541,0.029173851676674124,0.8668637859709515,0.017371960166555442,0.9057074504442925,0.047391939195466956,0.8853369999745373,0.027764794368598633,0.8365498191341232,0.023910792582214485,0.8674231371137269,0.04373577383026229
50.0,,0.1,rbf,0.8662646778800381,0.0193317337859139,0.8624066263219022,0.011578305473060891,0.9030416951469583,0.039816782472295094,0.8817305129913391,0.019024511871817345,0.8305207791260208,0.015084428987023453,0.8626068107019245,0.03345432882114073
50.0,2.0,0.5,poly,0.8561514863006453,0.03331920476642247,0.8670258485996956,0.01926352017525251,0.8742652084757347,0.05262219071002483,0.8700388173604896,0.03285719777819065,0.8355541560352974,0.02496539953051433,0.8424522397297116,0.046161513708904194
50.0,,0.5,rbf,0.8474029408653336,0.014332024322564233,0.8562566907833531,0.013386964605815819,0.8715311004784688,0.03872052249987595,0.8631509727267777,0.015546502567755617,0.8212096979211857,0.015892861296994115,0.8341497274381038,0.027166079193605284
50.0,2.0,1.0,poly,0.8546598963292077,0.03394940540110616,0.8610229548949206,0.018168799766390107,0.8794941900205059,0.05520315290414321,0.8694779609625695,0.032947262288166454,0.828484812135428,0.024759773097590677,0.8439023523999186,0.049707580656308
50.0,,1.0,rbf,0.8328996085898656,0.02838391388515615,0.8358595305982843,0.016011079013775038,0.8689678742310321,0.04907066939776796,0.8515135536273732,0.02801627731375002,0.7961280539365475,0.020771997124272242,0.8223116432595325,0.042419631954352825
50.0,3.0,3.19,poly,0.7950809266899397,0.02291914271420311,0.8192442773151878,0.0329782049729948,0.8111414900888585,0.03509020846141751,0.8142574201859256,0.019897524805683495,0.7730704723624038,0.041654955352920874,0.7694760894770952,0.026546565460997384
